index,title,keywords,cast,director,Img_links,Synopsys
2767,Birthday Girl,female nudity robbery mail order bride bank clerk,Nicole Kidman Ben Chaplin Vincent Cassel Mathieu Kassovitz Kate Lynn Evans,Jez Butterworth,"https://m.media-amazon.com/images/M/MV5BNmZhZTcxYTQtNzkxNy00MzlmLTg5NTMtNDU4NDVmNDIwMTBlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A thirtysomething bank clerk from St Albans has his small-town life exploded by the arrival of his Russian mail-order bride.
2768,21 & Over,alcohol birthday debauchery,Miles Teller Skylar Astin Justin Chon Sarah Wright Jonathan Keltz,Jon Lucas,"https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings."
2769,"Paris, je t'aime",paris city portrait jazz subway new love,Steve Buscemi Natalie Portman Willem Dafoe Maggie Gyllenhaal Axel Kiener,Isabel Coixet,"https://m.media-amazon.com/images/M/MV5BMTc1MDgwNDE4MF5BMl5BanBnXkFtZTcwMTQzMzc0MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented and awakened."
2770,Resurrecting the Champ,sport,Samuel L. Jackson Josh Hartnett Alan Alda Teri Hatcher Kathryn Morris,Rod Lurie,"https://m.media-amazon.com/images/M/MV5BMjMxNjgyMTA2Ml5BMl5BanBnXkFtZTgwMzYxODU3MDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Up-and-coming sports reporter rescues a homeless man (""Champ"") only to discover that he is, in fact, a boxing legend believed to have passed away. What begins as an opportunity to resurrect Champ's story and escape the shadow of his father's success becomes a personal journey as the ambitious reporter reexamines his own life and his relationship with his family."
2771,Admission,princeton university admissions,Tina Fey Paul Rudd Michael Sheen Lily Tomlin Wallace Shawn,Paul Weitz,"https://m.media-amazon.com/images/M/MV5BOTE2OTkwNzg5Ml5BMl5BanBnXkFtZTcwOTY0NzQ3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A Princeton admissions officer who is up for a major promotion takes a professional risk after she meets a college-bound alternative school kid who just might be the son she gave up years ago in a secret adoption.
2772,The Widow of Saint-Pierre,france island fisherman love revenge,Daniel Auteuil Emir Kusturica Juliette Binoche Michel Duchaussoy Philippe Magnan,Patrice Leconte,"https://m.media-amazon.com/images/M/MV5BYzlhNjMzNDUtZWVmOS00NzE5LTkyOTYtZTdlNmRjOWU5Y2MyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","In a small French colony, a drunken man kills someone. While a guillotine is being shipped in, he changes, becoming a good and popular man."
2773,Chloe,toronto lesbian remake of french film suspicious wife female doctor,Julianne Moore Liam Neeson Amanda Seyfried Max Thieriot R. H. Thomson,Atom Egoyan,"https://m.media-amazon.com/images/M/MV5BMTczMzExNTkyMV5BMl5BanBnXkFtZTcwODUyMzAyMw@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify."
2774,Faithful,kitchen female protagonist bathtub wedding anniversary flashback,Cher Chazz Palminteri Ryan O'Neal Paul Mazursky Amber Smith,Paul Mazursky,"https://m.media-amazon.com/images/M/MV5BOWQzNGIxNmMtNjhjMS00Njc5LWI1N2MtODczZDEyYjI2M2Q4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in."
2775,Find Me Guilty,court case staatsanw\u00e4ltin family clan gangster,Vin Diesel Alex Rocco Frank Pietrangolare Richard DeDomenico Paul Borghese,Sidney Lumet,"https://m.media-amazon.com/images/M/MV5BMTc4MzI2NzA0N15BMl5BanBnXkFtZTcwNTc2OTIzMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In the late 1980s, a low level gangster named Jackie DiNorscio defends himself in court in what became the longest criminal trial in American judicial history."
2776,The Perks of Being a Wallflower,shyness secret narration kiss freshman,Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev,Stephen Chbosky,"https://m.media-amazon.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
2777,Excessive Force,police shoulder holster police shootout shootout at a train station,Thomas Ian Griffith Lance Henriksen James Earl Jones Burt Young Tony Todd,Jon Hess,"https://m.media-amazon.com/images/M/MV5BOTFiNmQ0YTItYTM1Yi00OWE5LTg0YTctMjg1YzMwNmRiMTA1XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","A group of Chicago cops are involved in a raid from which $3,000,000 disappears. The local mob go after them and the body count starts to rise. The new Chief of Police makes it clear to the... See full summary »"
2778,Infamous,killing death penalty kansas author murder hunt,Sigourney Weaver Toby Jones Gwyneth Paltrow Sandra Bullock Isabella Rossellini,Douglas McGrath,"https://m.media-amazon.com/images/M/MV5BMjQ1NTAyODYxOF5BMl5BanBnXkFtZTgwODE0MDczMjI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","While researching his novel ""In Cold Blood"", Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith."
2779,The Claim,,Peter Mullan Milla Jovovich Wes Bentley Nastassja Kinski Sarah Polley,Michael Winterbottom,"https://m.media-amazon.com/images/M/MV5BYmVjMzVhNWQtZDkyYS00N2YzLTk3M2QtMTY2ZDgxZDRjOTAxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","A prospector who sold his wife and infant daughter in exchange for a mining claim, tries desperately to win them back as he helps to build the Pacific Railroad with a group of pioneer friends."
2780,The Vatican Tapes,exorcism anti-christ exorcist,Olivia Taylor Dudley Michael Pe\u00f1a Djimon Hounsou Dougray Scott Peter Andersson,Mark Neveldine,"https://m.media-amazon.com/images/M/MV5BMjMwNzgzNTI0M15BMl5BanBnXkFtZTgwODU0MTk4NTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A priest and two Vatican exorcists must do battle with an ancient satanic force to save the soul of a young woman.
2781,Attack the Block,street gang fireworks chase meteor playground,Nick Frost Jodie Whittaker John Boyega Luke Treadaway Flaminia Cinque,Joe Cornish,"https://m.media-amazon.com/images/M/MV5BMjAzNjc1MjgzOF5BMl5BanBnXkFtZTcwMzE3Njk5NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A teen gang in South London defend their block from an alien invasion.
2782,In the Land of Blood and Honey,muslim sister sister relationship sarajevo bosnian war of 1992-1995 violence,Zana Marjanovi\u0107 Goran Kosti\u0107 Branko \u0110uri\u0107 Dzana Pinjo Milo\u0161 Timotijevi\u0107,Angelina Jolie,"https://m.media-amazon.com/images/M/MV5BMTM4NzQ0MzQ5M15BMl5BanBnXkFtZTcwMTA3NjgwNw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","During the Bosnian War, Danijel, a soldier fighting for the Serbs, re-encounters Ajla, a Bosnian who's now a captive in his camp he oversees. Their once promising connection has become ambiguous as their motives have changed."
2783,The Call,underground gas station kidnapping murder suspense,Halle Berry Abigail Breslin Morris Chestnut Michael Imperioli Ella Rae Peck,Brad Anderson,"https://m.media-amazon.com/images/M/MV5BMjExNDkzNjAwOV5BMl5BanBnXkFtZTcwMDMzMzQwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life."
2784,Operation Chromite,"korea fictionalized history operation ""trudy jackson"" general douglas macarthur operation x-ray",Lee Jung-jae Liam Neeson Lee Beom-soo Jin Se-yeon Jung Joon-ho,John H. Lee,"https://m.media-amazon.com/images/M/MV5BNzE2MTJlNjctODk3OC00MTI1LTliODgtZWM5N2U0NTAxYjg0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",A team of spies is sent into Incheon to gain intelligence on North Korean positions ahead of the invasion by UN forces.
2785,The Crocodile Hunter: Collision Course,crocodile,Steve Irwin Terri Irwin Magda Szubanski David Wenham Lachy Hulme,John Stainton,"https://m.media-amazon.com/images/M/MV5BMjA1NTk2Mjc3N15BMl5BanBnXkFtZTYwNzU0NjY2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The Crocodile Hunter mistakes some CIA agents for poachers and sets out to stop them from capturing a wily croc which, unbeknownst to him, has swallowed a tracking drone."
2786,I Love You Phillip Morris,judge small town con man fraud jail,Jim Carrey Ewan McGregor Leslie Mann Rodrigo Santoro Brennan Brown,Glenn Ficarra,"https://m.media-amazon.com/images/M/MV5BNDkzMjkwNjc5NV5BMl5BanBnXkFtZTcwNzEyOTk5Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with."
2787,Quest for Fire,stone age cavemen prehistoric adventure prehistoric times prehistoric man,Everett McGill Ron Perlman Nicholas Kadi Rae Dawn Chong Gary Schwartz,Jean-Jacques Annaud,"https://m.media-amazon.com/images/M/MV5BNzIwMGQwMTAtNzg1OC00ZjViLWI1ZTAtNjliODJlNjUzMzhhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",This story takes place in prehistoric time when three tribesmen search for a new fire source.
2788,Antwone Fisher,u.s. navy biography,Derek Luke Malcolm David Kelley Cory Hodges Denzel Washington Joy Bryant,Denzel Washington,"https://m.media-amazon.com/images/M/MV5BMDY5MTIyNjEtNGVmYi00MzFkLWE2ODEtZjVjZjc5NGJhZGU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins."
2789,The Emperor's Club,,Kevin Kline Emile Hirsch Embeth Davidtz Rob Morrow Edward Herrmann,Michael Hoffman,"https://m.media-amazon.com/images/M/MV5BNmZiMTY3OTctNDlkMC00Njk0LWE0NTAtODViNzk3OTFhMzI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An idealistic prep school teacher attempts to redeem an incorrigible student.
2790,True Romance,father son relationship film producer mexican standoff loss of father cocaine,Christian Slater Patricia Arquette Michael Rapaport Bronson Pinchot Gary Oldman,Tony Scott,"https://m.media-amazon.com/images/M/MV5BMDViNjFjOWMtZGZhMi00NmIyLThmYzktODA4MzJhZDZhMDc5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
2791,Womb,,Eva Green Matt Smith Lesley Manville Peter Wight Istv\u00e1n L\u00e9n\u00e1rt,Benedek Fliegauf,"https://m.media-amazon.com/images/M/MV5BMjE5ODcwOTQ5Nl5BMl5BanBnXkFtZTcwNzk5ODk0Nw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A woman's consuming love forces her to bear the clone of her dead beloved. From his infancy to manhood, she faces the unavoidable complexities of her controversial decision."
2792,Glengarry Glen Ross,robbery office shop estate agent company,Al Pacino Jack Lemmon Alec Baldwin Alan Arkin Ed Harris,James Foley,"https://m.media-amazon.com/images/M/MV5BNTYzN2MxODMtMDBhOC00Y2M0LTgzMTItMzQ4NDIyYWIwMDEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An examination of the machinations behind the scenes at a real estate office.
2793,The Killer Inside Me,sheriff crime fighter,Casey Affleck Kate Hudson Jessica Alba Ned Beatty Tom Bower,Michael Winterbottom,"https://m.media-amazon.com/images/M/MV5BMTUyOTIwMTU5MV5BMl5BanBnXkFtZTcwNDY5NjA1Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.
2794,Cat People,shotgun attack lingerie held captive incest,Nastassja Kinski Malcolm McDowell John Heard Ruby Dee Ed Begley Jr.,Paul Schrader,"https://m.media-amazon.com/images/M/MV5BMTNhY2MyNmYtNzczZi00YWEyLWJlYTgtYzZiMzM1NDE0ZjYxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.
2795,Sorority Row,female nudity graduation serial killer blood slasher,Rumer Willis Briana Evigan Jamie Chung Leah Pipes Teri Andrzejewski,Stewart Hendler,"https://m.media-amazon.com/images/M/MV5BMjEyMTQ4ODc4M15BMl5BanBnXkFtZTcwMzI1NjE4Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer."
2796,The Prisoner of Zenda,kidnapping coronation villain kingdom heir to the throne,Ronald Colman Madeleine Carroll Raymond Massey Mary Astor Douglas Fairbanks Jr.,John Cromwell,"https://m.media-amazon.com/images/M/MV5BODA1YjlmZmEtNWI3MC00ZDQ3LTgxODAtZWQ3NmYyOGYzNzI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped."
2797,Lars and the Real Girl,garage lone wolf dying and death loss delusion,Ryan Gosling Emily Mortimer Paul Schneider Kelli Garner Lauren Ash,Craig Gillespie,"https://m.media-amazon.com/images/M/MV5BMTI4NDc1NDkwMV5BMl5BanBnXkFtZTcwNjgzMDE1MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.
2798,The Boy in the Striped Pyjamas,nationalism concentration camp world war ii gas chamber nazis,Asa Butterfield Jack Scanlon Vera Farmiga David Thewlis Rupert Friend,Mark Herman,"https://m.media-amazon.com/images/M/MV5BMTMzMTc3MjA5NF5BMl5BanBnXkFtZTcwOTk3MDE5MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
2799,Dancer in the Dark,individual dancing usa robbery factory worker,Bj\u00f6rk Catherine Deneuve David Morse Peter Stormare Joel Grey,Lars von Trier,"https://m.media-amazon.com/images/M/MV5BNDVkYWMxNWEtNjc2MC00OGI5LWI3NmUtYWUwNDQyOTc3YmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","An east European girl goes to America with her young son, expecting it to be like a Hollywood film."
2800,Oscar and Lucinda,minister australia inheritance wager woman director,Ralph Fiennes Cate Blanchett Ciar\u00e1n Hinds Tom Wilkinson Richard Roxburgh,Gillian Armstrong,"https://m.media-amazon.com/images/M/MV5BZjUwOTIyMjAtZGQ5My00YmUyLWE0ZWMtOWNkZGNkZjU0OWRmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In mid-1800s England, Oscar is a young Anglican priest, a misfit and an outcast, but with the soul of an angel. As a boy, even though from a strict Pentecostal family, he felt God told him ... See full summary »"
2801,The Funeral,suicide bedroom strike great depression trade union,Christopher Walken Chris Penn Annabella Sciorra Isabella Rossellini Vincent Gallo,Abel Ferrara,"https://m.media-amazon.com/images/M/MV5BMmUwYmQ3ZmItM2RmZi00OWZhLWFmMjktZjgxNDgxYzdmNDE5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","After the funeral of one of their own, a criminal family decides to embark on an emotionally unnerving journey in an attempt to exact bloody revenge."
2802,Solitary Man,infidelity bankrupt loneliness comedy family drama,Michael Douglas Danny DeVito Jesse Eisenberg Susan Sarandon Mary-Louise Parker,Brian Koppelman,"https://m.media-amazon.com/images/M/MV5BMTU2NDEwNjQ4NV5BMl5BanBnXkFtZTcwODYwMTgzMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A car magnate watches his personal and professional life hit the skids because of his business and romantic indiscretions.
2803,Machete,illegal immigration immigration law machete politician death of a child,Danny Trejo Michelle Rodriguez Jessica Alba Robert De Niro Lindsay Lohan,Robert Rodriguez,"https://m.media-amazon.com/images/M/MV5BZWUxODc2NmItNThkNS00Mzc4LThlYTQtOTYwZjVhYjRiNmMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
2804,Casino Jack,biography duringcreditsstinger,Kevin Spacey Kelly Preston Hannah Endicott-Douglas Rachelle Lefevre Barry Pepper,George Hickenlooper,"https://m.media-amazon.com/images/M/MV5BMTM2NzQ4NDE2M15BMl5BanBnXkFtZTcwNDM0NzcwNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.
2805,The Land Before Time,vulkan loss of mother tyrannosaurus rex earthquake primitive time,Gabriel Damon Candace Hutson Judith Barsi Will Ryan Pat Hingle,Don Bluth,"https://m.media-amazon.com/images/M/MV5BNDVhZjVmZWYtYTE0OC00MGFjLWI1YWQtZmJhNmE5NzI4ZWE4XkEyXkFqcGdeQXVyMzczMzE2ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.
2806,Tae Guk Gi: The Brotherhood of War,archaeologist korean war north korea south korea air raid,Jang Dong-gun Won Bin Lee Eun-ju Gong Hyung-jin Park Jeong-Woo,Kang Je-gyu,"https://m.media-amazon.com/images/M/MV5BNjAxZTEzNzQtYjdlNy00ZTJmLTkwZDUtOTAwNTM3YjI2MWUyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
2807,The Perfect Game,baseball sport based on true story family relationships,Clifton Collins Jr Cheech Marin Mois\u00e9s Arias Emilie de Ravin Jake T. Austin,William Dear,"https://m.media-amazon.com/images/M/MV5BMTI1MTgzMTk1OF5BMl5BanBnXkFtZTcwNDY3Nzk3MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Based on a true story, a group of boys from Monterrey, Mexico who became the first non-U.S. team to win the Little League World Series."
2808,The Exorcist,exorcism holy water religion and supernatural vomit christian,Linda Blair Max von Sydow Ellen Burstyn Jason Miller Lee J. Cobb,William Friedkin,"https://m.media-amazon.com/images/M/MV5BYjhmMGMxZDYtMTkyNy00YWVmLTgyYmUtYTU3ZjcwNTBjN2I1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
2809,Jaws,fishing atlantic ocean bathing shipwreck police chief,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary Murray Hamilton,Steven Spielberg,"https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
2810,American Pie,graduation innocence coming of age teenager high school student,Jason Biggs Chris Klein Thomas Ian Nicholas Alyson Hannigan Shannon Elizabeth,Chris Weitz,"https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Four teenage boys enter a pact to lose their virginity by prom night.
2811,Ernest & Celestine,mouse musician friendship prejudice bear,Anne-Marie Loop Lambert Wilson Pauline Brunner Patrice Melennec Brigitte Virtudes,St\u00e9phane Aubier,None,None
